MAC,starttime,endtime,station,strongsignal,weaksignal,times,diff,mobiledevice
78:45:61:70:11:b8,9,10.13,71,-53,-66,13,13,N
2c:5b:b8:8f:42:26,9.3,10.13,41,-47,-86,2,39,Y
44:39:c4:bb:7f:68,10.05,10.14,8,-50,-79,24,29,N
44:39:c4:bb:7f:68,10.05,10.14,8,-27,-73,23,46,N
44:39:c4:bb:7f:68,10.05,10.14,8,-44,-82,21,38,N
44:39:c4:bb:7f:68,10.05,10.14,8,-28,-84,18,56,N
00:0c:e8:0f:7a:6c,10.08,10.14,5,-42,-84,31,42,N
00:0c:e8:0f:7a:6c,10.08,10.14,5,-52,-80,24,28,N
00:0c:e8:0f:7a:6c,10.08,10.14,5,-48,-86,23,38,N
c8:f2:30:52:07:e4,10.08,10.14,5,-46,-81,5,35,Y
00:16:78:5b:3f:60,10.09,10.14,5,-52,-83,3,31,N
44:39:c4:b6:df:e2,9,10.14,72,-36,-82,14,46,N
78:45:61:70:11:b8,9,10.14,71,-49,-85,19,36,N
78:45:61:70:11:b8,9,10.14,72,-31,-84,18,53,N
78:45:61:70:11:b8,9,10.14,72,-31,-48,16,17,N
78:45:61:70:11:b8,9,10.14,72,-51,-66,15,15,N
44:39:c4:b6:df:e2,9,10.14,71,-36,-83,15,47,N
6c:59:40:92:3c:44,9,10.14,71,-39,-82,2,43,N
6c:59:40:8e:7f:7a,9,10.14,71,-37,-78,2,41,N
c8:f2:30:54:e9:1d,9.1,10.14,58,-38,-91,7,53,Y
c8:f2:30:54:e9:1d,9.1,10.14,58,-34,0,0,0,Y
c8:3a:35:22:62:58,9.2,10.14,49,-53,-85,3,32,N
c8:3a:35:22:62:58,9.2,10.14,49,-53,-84,1,31,N
48:5a:b6:d7:d0:3d,9.2,10.14,49,-47,0,0,0,Y
48:5a:b6:d7:d0:3d,9.2,10.14,49,-40,0,0,0,Y
44:39:c4:bb:7f:68,10.05,10.15,9,-44,-76,28,32,N
44:39:c4:bb:7f:68,10.05,10.15,9,-52,-77,23,25,N
44:39:c4:bb:7f:68,10.05,10.15,9,-28,-87,16,59,N
00:16:78:5b:3f:60,10.09,10.15,6,-50,-84,6,34,N
00:1c:a3:04:36:26,10.09,10.15,6,-51,-84,3,33,N
44:39:c4:b6:df:e2,9,10.15,73,-41,-85,11,44,N
78:45:61:70:11:b8,9,10.15,72,-43,-72,25,29,N
78:45:61:70:11:b8,9,10.15,73,-31,-49,16,18,N
78:45:61:70:11:b8,9,10.15,73,-49,-67,15,18,N
44:39:c4:b6:df:e2,9,10.15,71,-36,-81,18,45,N
6c:59:40:92:3c:44,9,10.15,71,-40,-76,1,36,N
dc:6d:cd:3b:9a:79,9.1,10.15,61,-48,-72,6,24,Y
c8:f2:30:54:e9:1d,9.1,10.15,59,-38,0,0,0,Y
c8:3a:35:22:62:58,9.2,10.15,50,-53,-89,1,36,N
44:39:c4:bb:7f:68,10.05,10.16,10,-50,-74,23,24,N
44:39:c4:bb:7f:68,10.05,10.16,10,-46,-77,22,31,N
78:45:61:70:11:b8,9,10.16,74,-48,-70,20,22,N
78:45:61:70:11:b8,9,10.16,74,-51,-67,16,16,N
44:39:c4:bb:7f:68,10.05,10.17,11,-42,-73,24,31,N
78:45:61:70:11:b8,9,10.17,74,-44,-70,21,26,N
dc:6d:cd:3b:9a:79,9.1,10.17,63,-38,-75,4,37,Y
2c:5b:b8:8f:42:26,9.3,10.17,45,-47,-87,4,40,Y
44:39:c4:bb:7f:68,10.05,10.19,13,-51,-75,24,24,N
44:39:c4:bb:7f:68,10.05,10.19,13,-45,-78,22,33,N
44:39:c4:bb:7f:68,10.05,10.19,13,-50,-75,22,25,N
44:39:c4:bb:7f:68,10.05,10.19,13,-45,-85,20,40,N
44:39:c4:bb:7f:68,10.05,10.19,13,-50,-76,20,26,N
44:39:c4:bb:7f:68,10.05,10.19,13,-29,-79,18,50,N
44:39:c4:bb:7f:68,10.05,10.19,13,-28,-83,17,55,N
44:39:c4:bb:7f:68,10.05,10.19,13,-29,-80,16,51,N
70:11:24:8f:53:bf,10.09,10.19,10,-47,-90,12,43,Y
00:16:78:5b:3f:60,10.09,10.19,10,-51,-83,3,32,N
78:45:61:70:11:b8,9,10.19,77,-31,-70,22,39,N
78:45:61:70:11:b8,9,10.19,77,-42,-83,21,41,N
78:45:61:70:11:b8,9,10.19,77,-48,-85,18,37,N
78:45:61:70:11:b8,9,10.19,77,-31,-49,17,18,N
78:45:61:70:11:b8,9,10.19,77,-51,-68,16,17,N
78:45:61:70:11:b8,9,10.19,77,-51,-68,16,17,N
78:45:61:70:11:b8,9,10.19,77,-49,-68,16,19,N
78:45:61:70:11:b8,9,10.19,77,-31,-48,15,17,N
44:39:c4:b6:df:e2,9,10.19,75,-36,-84,24,48,N
44:39:c4:b6:df:e2,9,10.19,75,-35,-85,20,50,N
6c:59:40:8e:7f:7a,9,10.19,75,-37,0,0,0,N
dc:6d:cd:3b:9a:79,9.1,10.19,65,-47,-75,4,28,Y
2c:5b:b8:8f:42:26,9.3,10.19,47,-49,-85,5,36,Y
2c:5b:b8:8f:42:26,9.3,10.19,47,-49,-85,4,36,Y
1c:60:de:09:30:e0,10.05,10.2,14,-48,0,0,0,N
00:0c:e8:0f:7a:6c,10.08,10.2,12,-43,-81,9,38,N
c8:f2:30:52:07:e4,10.08,10.2,11,-39,-80,3,41,Y
c8:f2:30:52:07:e4,10.08,10.2,11,-48,-86,2,38,Y
00:e0:4c:81:92:8f,10.08,10.2,12,-39,0,0,0,N
c8:3a:35:60:e6:50,10.14,10.2,6,-52,-79,1,27,N
6c:59:40:a4:b2:84,9,10.2,79,-47,-76,21,29,N
78:45:61:70:11:b8,9,10.2,79,-37,-80,3,43,N
78:45:61:70:11:b8,9,10.2,79,-36,-74,3,38,N
44:39:c4:b6:df:e2,9,10.2,78,-41,-75,12,34,N
44:39:c4:b6:df:e2,9,10.2,78,-39,-80,8,41,N
44:39:c4:b6:df:e2,9,10.2,78,-37,-71,5,34,N
6c:59:40:92:3c:44,9,10.2,78,-40,-87,1,47,N
6c:59:40:8e:7f:7a,9,10.2,75,-41,0,0,0,N
6c:59:40:8e:7f:7a,9,10.2,75,-39,0,0,0,N
2c:5b:b8:fc:61:4f,9.1,10.2,61,-50,0,0,0,Y
c8:3a:35:22:62:58,9.2,10.2,55,-53,-87,2,34,N
c8:3a:35:22:62:58,9.2,10.2,55,-53,-85,2,32,N
c8:3a:35:22:62:58,9.2,10.2,55,-54,-85,2,31,N
48:5a:b6:d7:d0:3d,9.2,10.2,55,-50,0,0,0,Y
c8:3a:35:1f:d0:b0,9.3,10.2,49,-49,0,0,0,N
44:39:c4:bb:7f:68,10.05,10.21,15,-41,-72,21,31,N
44:39:c4:bb:7f:68,10.05,10.21,15,-50,-73,20,23,N
44:39:c4:bb:7f:68,10.05,10.21,15,-26,-87,18,61,N
44:39:c4:bb:7f:68,10.05,10.21,15,-50,-68,18,18,N
44:39:c4:bb:7f:68,10.05,10.21,15,-43,-63,17,20,N
44:39:c4:bb:7f:68,10.05,10.21,15,-25,-48,16,23,N
00:0c:e8:0f:7a:6c,10.08,10.21,13,-45,-85,29,40,N
00:0c:e8:0f:7a:6c,10.08,10.21,13,-51,-83,25,32,N
00:0c:e8:0f:7a:6c,10.08,10.21,12,-52,-85,11,33,N
00:e0:4c:81:92:8f,10.08,10.21,12,-40,0,0,0,N
44:97:5a:c3:e9:bc,10.09,10.21,12,-49,0,0,0,N
74:c3:30:92:6a:6a,10.15,10.21,6,-47,0,0,0,N
78:45:61:70:11:b8,9,10.21,79,-44,-70,24,26,N
78:45:61:70:11:b8,9,10.21,79,-43,-85,23,42,N
78:45:61:70:11:b8,9,10.21,79,-49,-66,17,17,N
78:45:61:70:11:b8,9,10.21,79,-52,-67,15,15,N
78:45:61:70:11:b8,9,10.21,79,-31,-49,15,18,N
78:45:61:70:11:b8,9,10.21,79,-31,-48,15,17,N
44:39:c4:b6:df:e2,9,10.21,77,-32,-78,13,46,N
6c:59:40:92:3c:44,9,10.21,77,-37,-83,2,46,N
48:5a:b6:d7:d0:3d,9.2,10.21,55,-40,-84,5,44,Y
48:5a:b6:d7:d0:3d,9.2,10.21,56,-51,0,0,0,Y
c8:3a:35:22:62:58,9.2,10.21,55,-39,0,0,0,N
2c:5b:b8:8f:42:26,9.3,10.21,49,-45,-85,4,40,Y
2c:5b:b8:8f:42:26,9.3,10.21,49,-49,-86,3,37,Y
c8:3a:35:1f:d0:b0,9.3,10.21,50,-46,-84,1,38,N
44:39:c4:bb:7f:68,10.05,10.22,16,-44,-66,18,22,N
44:39:c4:bb:7f:68,10.05,10.22,16,-29,-72,16,43,N
00:0c:e8:0f:7a:6c,10.08,10.22,13,-47,-87,31,40,N
6c:59:40:a4:b2:84,9,10.22,82,-46,-77,22,31,N
78:45:61:70:11:b8,9,10.22,80,-46,-68,20,22,N
78:45:61:70:11:b8,9,10.22,80,-30,-57,18,27,N
c8:3a:35:22:62:58,9.2,10.22,56,-34,-90,3,56,N
2c:5b:b8:8f:42:26,9.3,10.22,50,-46,-87,5,41,Y
44:39:c4:bb:7f:68,10.05,10.23,17,-49,-72,23,23,N
44:39:c4:bb:7f:68,10.05,10.23,17,-51,-73,18,22,N
44:39:c4:bb:7f:68,10.05,10.23,17,-40,-62,16,22,N
44:39:c4:bb:7f:68,10.05,10.23,17,-30,-46,16,16,N
00:16:78:5b:3f:60,10.09,10.23,14,-52,-81,3,29,N
78:45:61:70:11:b8,9,10.23,81,-46,-69,20,23,N
78:45:61:70:11:b8,9,10.23,81,-30,-49,18,19,N
78:45:61:70:11:b8,9,10.23,81,-49,-82,17,33,N
78:45:61:70:11:b8,9,10.23,81,-46,-66,15,20,N
44:39:c4:b6:df:e2,9,10.23,79,-35,-66,11,31,N
2c:5b:b8:8f:42:26,9.3,10.23,52,-50,-87,2,37,Y
44:39:c4:bb:7f:68,10.05,10.24,18,-41,-77,19,36,N
44:39:c4:bb:7f:68,10.05,10.24,18,-29,-48,14,19,N
78:45:61:70:11:b8,9,10.24,82,-44,-83,24,39,N
78:45:61:70:11:b8,9,10.24,82,-30,-51,20,21,N
44:39:c4:b6:df:e2,9,10.24,80,-36,-80,16,44,N
dc:6d:cd:3b:9a:79,9.1,10.24,70,-49,-69,2,20,Y
2c:5b:b8:8f:42:26,9.3,10.24,52,-52,-86,5,34,Y
44:39:c4:bb:7f:68,10.05,10.25,19,-50,-73,19,23,N
44:39:c4:bb:7f:68,10.05,10.25,19,-27,-83,17,56,N
44:39:c4:bb:7f:68,10.05,10.25,19,-42,-76,17,34,N
44:39:c4:bb:7f:68,10.05,10.25,19,-49,-72,16,23,N
44:97:5a:c3:e9:bc,10.09,10.25,16,-49,0,0,0,N
78:45:61:70:11:b8,9,10.25,83,-39,-68,16,29,N
78:45:61:70:11:b8,9,10.25,83,-31,-48,14,17,N
78:45:61:70:11:b8,9,10.25,83,-50,-66,13,16,N
78:45:61:70:11:b8,9,10.25,83,-48,-66,12,18,N
44:39:c4:b6:df:e2,9,10.25,82,-35,-65,5,30,N
2c:28:2d:78:10:a5,9.1,10.25,74,-31,-87,1,56,Y
2c:28:2d:78:10:a5,9.1,10.25,74,-54,-83,1,29,Y
2c:5b:b8:8f:42:26,9.3,10.25,53,-48,0,0,0,Y
44:39:c4:bb:7f:68,10.05,10.26,20,-50,-74,21,24,N
44:39:c4:bb:7f:68,10.05,10.26,20,-45,-77,19,32,N
44:39:c4:bb:7f:68,10.05,10.26,20,-31,-83,12,52,N
1c:60:de:09:30:e0,10.05,10.26,20,-48,-92,1,44,N
1c:60:de:09:30:e0,10.05,10.26,20,-44,0,0,0,N
c8:f2:30:52:07:e4,10.08,10.26,17,-37,-84,3,47,Y
00:1c:a3:04:36:26,10.09,10.26,17,-50,-84,3,34,N
00:16:78:5b:3f:60,10.09,10.26,17,-49,-83,2,34,N
c8:3a:35:60:e6:50,10.14,10.26,12,-49,0,0,0,N
a4:44:d1:de:e1:d5,10.21,10.26,5,-54,-86,2,32,Y
6c:59:40:a4:b2:84,9,10.26,86,-52,-76,18,24,N
6c:59:40:a4:b2:84,9,10.26,86,-50,-74,17,24,N
78:45:61:70:11:b8,9,10.26,86,-54,-66,5,12,N
78:45:61:70:11:b8,9,10.26,86,-36,-83,4,47,N
44:39:c4:b6:df:e2,9,10.26,85,-39,-83,9,44,N
44:39:c4:b6:df:e2,9,10.26,85,-39,-64,4,25,N
6c:59:40:92:3c:44,9,10.26,85,-40,-74,1,34,N
78:45:61:70:11:b8,9,10.26,84,-30,-49,17,19,N
78:45:61:70:11:b8,9,10.26,84,-41,-68,16,27,N
78:45:61:70:11:b8,9,10.26,84,-49,-66,14,17,N
90:c3:5f:77:28:5d,9,10.26,83,-48,-95,7,47,N
44:39:c4:b6:df:e2,9,10.26,82,-36,-76,15,40,N
6c:59:40:92:3c:44,9,10.26,82,-38,-75,2,37,N
6c:59:40:8e:7f:7a,9,10.26,82,-36,0,0,0,N
6c:59:40:8e:7f:7a,9,10.26,81,-40,-73,1,33,N
6c:59:40:8e:7f:7a,9,10.26,81,-39,0,0,0,N
48:5a:b6:d7:d0:3d,9.2,10.26,61,-42,-86,6,44,Y
48:5a:b6:d7:d0:3d,9.2,10.26,61,-48,-87,5,39,Y
c8:3a:35:22:62:58,9.2,10.26,61,-40,-89,4,49,N
c8:3a:35:22:62:58,9.2,10.26,61,-48,-90,1,42,N
c8:3a:35:22:62:58,9.2,10.26,61,-46,-86,1,40,N
48:5a:b6:d7:d0:3d,9.2,10.26,61,-39,-86,1,47,Y
c8:3a:35:22:62:58,9.2,10.26,61,-47,-82,1,35,N
48:5a:b6:d7:d0:3d,9.2,10.26,61,-52,0,0,0,Y
c8:3a:35:22:62:58,9.2,10.26,61,-46,0,0,0,N
c8:3a:35:22:62:58,9.2,10.26,61,-39,0,0,0,N
c8:3a:35:22:62:58,9.2,10.26,61,-39,0,0,0,N
2c:5b:b8:8f:42:26,9.3,10.26,54,-48,-86,4,38,Y
c8:3a:35:25:f5:40,9.5,10.26,28,-51,0,0,0,N
44:39:c4:bb:7f:68,10.05,10.27,21,-28,-46,18,18,N
78:45:61:70:11:b8,9,10.27,85,-32,-49,16,17,N
48:5a:b6:d7:d0:3d,9.2,10.27,62,-42,-83,3,41,Y
c8:3a:35:22:62:58,9.2,10.27,62,-41,-87,1,46,N
c8:3a:35:22:62:58,9.2,10.27,62,-47,0,0,0,N
44:39:c4:b6:df:e2,9,10.28,87,-36,-77,8,41,N
44:39:c4:b6:df:e2,9,10.28,87,-40,0,0,0,N
28:fa:a0:37:14:c0,9.1,10.28,75,-52,-82,4,30,Y
28:fa:a0:37:14:c0,9.1,10.28,75,-27,-79,2,52,Y
44:39:c4:bb:7f:68,10.05,10.29,23,-52,-81,22,29,N
44:39:c4:bb:7f:68,10.05,10.29,23,-45,-83,19,38,N
44:39:c4:bb:7f:68,10.05,10.29,23,-28,-83,19,55,N
44:39:c4:bb:7f:68,10.05,10.29,23,-48,-77,16,29,N
44:39:c4:bb:7f:68,10.05,10.29,23,-47,-72,15,25,N
44:39:c4:bb:7f:68,10.05,10.29,23,-31,-81,13,50,N
00:16:78:2a:20:44,10.06,10.29,23,-50,-91,12,41,N
00:16:78:2a:20:44,10.06,10.29,23,-52,-91,11,39,N
44:97:5a:c3:e9:bc,10.09,10.29,20,-49,0,0,0,N
44:97:5a:a2:f8:54,10.19,10.29,10,-37,0,0,0,N
a4:44:d1:de:e1:d5,10.21,10.29,8,-53,-88,7,35,Y
a4:44:d1:de:e1:d5,10.21,10.29,8,-52,-87,5,35,Y
6c:59:40:a4:b2:84,9,10.29,88,-52,-79,20,27,N
78:45:61:70:11:b8,9,10.29,89,-31,-38,2,7,N
44:39:c4:b6:df:e2,9,10.29,88,-40,-71,10,31,N
78:45:61:70:11:b8,9,10.29,87,-49,-85,18,36,N
78:45:61:70:11:b8,9,10.29,87,-51,-68,16,17,N
78:45:61:70:11:b8,9,10.29,87,-32,-75,15,43,N
78:45:61:70:11:b8,9,10.29,87,-48,-68,15,20,N
78:45:61:70:11:b8,9,10.29,87,-32,-49,15,17,N
78:45:61:70:11:b8,9,10.29,87,-53,-76,12,23,N
78:45:61:70:11:b8,9,10.29,87,-52,-66,11,14,N
44:39:c4:b6:df:e2,9,10.29,86,-34,-76,15,42,N
44:39:c4:b6:df:e2,9,10.29,86,-35,-79,14,44,N
28:fa:a0:37:14:c0,9.1,10.29,75,-54,-82,2,28,Y
48:5a:b6:d7:d0:3d,9.2,10.29,64,-47,-83,6,36,Y
c8:3a:35:22:62:58,9.2,10.29,64,-47,-85,2,38,N
48:5a:b6:d7:d0:3d,9.2,10.29,64,-54,0,0,0,Y
2c:5b:b8:8f:42:26,9.3,10.29,57,-40,-88,4,48,Y
2c:5b:b8:8f:42:26,9.3,10.29,58,-46,-87,4,41,Y
2c:5b:b8:8f:42:26,9.3,10.29,57,-40,-86,3,46,Y
2c:28:2d:97:be:68,9.4,10.29,40,-51,0,0,0,Y
78:45:61:70:11:b8,9,10.3,87,-52,-66,12,14,N
c8:f2:30:52:07:e4,10.08,10.31,22,-38,-82,3,44,Y
c8:f2:30:52:07:e4,10.08,10.31,22,-48,-82,2,34,Y
00:16:78:5b:3f:60,10.09,10.31,22,-49,-86,13,37,N
6c:59:40:a4:b2:84,9,10.31,91,-51,-82,15,31,N
c8:f2:30:02:17:00,9,10.31,91,-38,-85,1,47,Y
78:45:61:70:11:b8,9,10.31,89,-31,-57,24,26,N
78:45:61:70:11:b8,9,10.31,89,-51,-81,20,30,N
78:45:61:70:11:b8,9,10.31,89,-46,-81,17,35,N
78:45:61:70:11:b8,9,10.31,89,-32,-88,15,56,N
78:45:61:70:11:b8,9,10.31,89,-50,-79,14,29,N
78:45:61:70:11:b8,9,10.31,89,-52,-75,14,23,N
44:39:c4:b6:df:e2,9,10.31,88,-32,-65,9,33,N
